,Building Name,District Name,County,City and Zip Code,Performance Index Percent 2016-17,City,State,Zip Code,Code+4
206,East Branch Preparatory AcademydbaWright Preparatory Academy,East Branch Preparatory AcademydbaWright Preparatory Academy,Stark,"Canton, OH, 44705-1956",38.1,Canton, OH, 44705,1956
208,iLEAD Spring Meadows,iLEAD Spring Meadows,Lucas,"Holland, OH, 43528-8304",61.9,Holland, OH, 43528,8304
210,Westwood Preparatory Academy,Westwood Preparatory Academy,Franklin,"Columbus, OH, 43222-0000",46.8,Columbus, OH, 43222,0000
211,Summit Acdy Comm Schl for Alternative Learners of Middletown,Summit Acdy Comm Schl for Alternative Learners of Middletown,Butler,"Middletown, OH, 45044-5354",58.2,Middletown, OH, 45044,5354
212,Summit Academy Community School Alternative Learners -Xenia,Summit Academy Community School Alternative Learners -Xenia,Greene,"Xenia, OH, 45385-4126",45.3,Xenia, OH, 45385,4126
213,Summit Academy Akron Middle School,Summit Academy Akron Middle School,Summit,"Akron, OH, 44320-1228",47.1,Akron, OH, 44320,1228
214,Miami Valley Academies,Miami Valley Academies,Montgomery,"Dayton, OH, 45449-2806",48.3,Dayton, OH, 45449,2806
215,Constellation Schools: Lorain Community Elementary,Constellation Schools: Lorain Community Elementary,Lorain,"Parma, OH, 44129-3854",77.5,Parma, OH, 44129,3854
216,Constellation Schools: Elyria Community,Constellation Schools: Elyria Community,Lorain,"Elyria, OH, 44035-3715",75.8,Elyria, OH, 44035,3715
217,Constellation Schools: Westpark Community Elementary,Constellation Schools: Westpark Community Elementary,Cuyahoga,"Cleveland, OH, 44111-5521",87,Cleveland, OH, 44111,5521
218,"Intergenerational School, The",Cleveland Municipal,Cuyahoga,"Cleveland, OH, 44104-3805",72.2,Cleveland, OH, 44104,3805
219,Constellation Schools: Parma Community,Constellation Schools: Parma Community,Cuyahoga,"Parma, OH, 44129-5603",68.8,Parma, OH, 44129,5603
220,Washington Park Community School,Washington Park Community School,Cuyahoga,"Newburgh Heights, OH, 44105-3248",49.6,Newburgh Heights, OH, 44105,3248
221,Summit Academy Community School for Alternative Learn-Canton,Summit Academy Community School for Alternative Learn-Canton,Stark,"Canton, OH, 44707-3778",46.7,Canton, OH, 44707,3778
222,Summit Academy Community School Alternative Learners-Lorain,Summit Academy Community School Alternative Learners-Lorain,Lorain,"Lorain, OH, 44055-2756",57.5,Lorain, OH, 44055,2756
223,T.C.P. World Academy,T.C.P. World Academy,Hamilton,"Cincinnati, OH, 45213-1624",76.6,Cincinnati, OH, 45213,1624
225,Electronic Classroom Of Tomorrow,Electronic Classroom Of Tomorrow,Franklin,"Columbus, OH, 43207-4083",45.9,Columbus, OH, 43207,4083
226,"Graham School, The","Graham School, The",Franklin,"Columbus, OH, 43214-3158",52.3,Columbus, OH, 43214,3158
227,Cornerstone Academy Community School,Cornerstone Academy Community School,Franklin,"Westerville, OH, 43081-9620",75.8,Westerville, OH, 43081,9620
228,Dayton Leadership Academies-Dayton View Campus,Dayton Leadership Academies-Dayton View Campus,Montgomery,"Dayton, OH, 45402-6217",40.1,Dayton, OH, 45402,6217
229,Phoenix Community Learning Ctr,Phoenix Community Learning Ctr,Hamilton,"Cincinnati, OH, 45229-2609",43.3,Cincinnati, OH, 45229,2609
230,Cincinnati College Preparatory Academy,Cincinnati College Preparatory Academy,Hamilton,"Cincinnati, OH, 45214-2605",54.7,Cincinnati, OH, 45214,2605
231,Citizens Academy,Cleveland Municipal,Cuyahoga,"Cleveland, OH, 44108-3538",66.1,Cleveland, OH, 44108,3538
232,"Edge Academy, The","Edge Academy, The",Summit,"Akron, OH, 44304-1347",57.2,Akron, OH, 44304,1347
233,Millennium Community School,Millennium Community School,Franklin,"Columbus, OH, 43232-4862",50,Columbus, OH, 43232,4862
234,Summit Academy Akron Elementary School,Summit Academy Akron Elementary School,Summit,"Akron, OH, 44312-2426",58.6,Akron, OH, 44312,2426
235,Horizon Science Acad Cleveland,Horizon Science Acad Cleveland,Cuyahoga,"Cleveland, OH, 44103-1042",51.4,Cleveland, OH, 44103,1042
236,Horizon Science Academy Columbus,Horizon Science Academy Columbus,Franklin,"Columbus, OH, 43229-6290",60.2,Columbus, OH, 43229,6290
237,Riverside Academy,Riverside Academy,Hamilton,"Cincinnati, OH, 45204-1214",50.2,Cincinnati, OH, 45204,1214
238,Richard Allen Academy,Richard Allen Academy,Montgomery,"Dayton, OH, 45406-5804",50.6,Dayton, OH, 45406,5804
239,Lincoln Preparatory Academy,Lincoln Preparatory Academy,Cuyahoga,"Cleveland, OH, 44109-1255",45.1,Cleveland, OH, 44109,1255
240,Toledo School For The Arts,Toledo School For The Arts,Lucas,"Toledo, OH, 43604-5459",77.1,Toledo, OH, 43604,5459
242,Youngstown Community School,Youngstown Community School,Mahoning,"Youngstown, OH, 44502-1838",65.7,Youngstown, OH, 44502,1838
243,Constellation Schools: Old Brooklyn Community Elementary,Constellation Schools: Old Brooklyn Community Elementary,Cuyahoga,"Cleveland, OH, 44109-4705",79.1,Cleveland, OH, 44109,4705
244,Autism Model School,Autism Model School,Lucas,"Toledo, OH, 43613-1901",55.3,Toledo, OH, 43613,1901
245,Aurora Academy,Aurora Academy,Lucas,"Toledo, OH, 43605-1704",40.4,Toledo, OH, 43605,1704
246,Green Inspiration Academy,Green Inspiration Academy,Cuyahoga,"Highland Hills, OH, 44128-2811",46.1,Highland Hills, OH, 44128,2811
247,Middlebury Academy,Middlebury Academy,Summit,"Akron, OH, 44305-2544",38.5,Akron, OH, 44305,2544
248,Colonial Prep Academy,Colonial Prep Academy,Summit,"Akron, OH, 44314-2405",47.1,Akron, OH, 44314,2405
249,City Day Community School,City Day Community School,Montgomery,"Dayton, OH, 45402-2716",41.7,Dayton, OH, 45402,2716
250,Focus Learning Academy of Northern Columbus,North Central Ohio ESC,Seneca,"Columbus, OH, 43229-3523",63.7,Columbus, OH, 43229,3523
251,Ohio Virtual Academy,Ohio Virtual Academy,Lucas,"Maumee, OH, 43537-4045",60.1,Maumee, OH, 43537,4045
252,Hope Academy Northcoast,Hope Academy Northcoast,Cuyahoga,"Cleveland, OH, 44105-5759",40,Cleveland, OH, 44105,5759
253,International Acad Of Columbus,International Acad Of Columbus,Franklin,"Columbus, OH, 43229-2847",56.6,Columbus, OH, 43229,2847
254,Great Western Academy,Great Western Academy,Franklin,"Columbus, OH, 43204-6221",60.2,Columbus, OH, 43204,6221
255,Trotwood Fitness & Prep Acad,Trotwood Fitness & Prep Acad,Montgomery,"Trotwood, OH, 45426-2247",49.8,Trotwood, OH, 45426,2247
256,Middletown Fitness & Prep Acad,Middletown Fitness & Prep Acad,Butler,"Middletown, OH, 45044-4201",56.6,Middletown, OH, 45044,4201
257,The Autism Academy Of Learning,The Autism Academy Of Learning,Lucas,"Toledo, OH, 43607-2960",47.8,Toledo, OH, 43607,2960
258,West Preparatory Academy,West Preparatory Academy,Cuyahoga,"Cleveland, OH, 44135-5017",44.3,Cleveland, OH, 44135,5017
259,Alternative Education Academy,Alternative Education Academy,Lucas,"Toledo, OH, 43624-1428",53.2,Toledo, OH, 43624,1428
260,Constellation Schools: Puritas Community Elementary,Constellation Schools: Puritas Community Elementary,Cuyahoga,"Cleveland, OH, 44135-2716",75.6,Cleveland, OH, 44135,2716
261,Constellation Schools: Stockyard Community Elementary,Constellation Schools: Stockyard Community Elementary,Cuyahoga,"Cleveland, OH, 44102-5510",55.7,Cleveland, OH, 44102,5510
262,North Dayton School Of Science & Discovery,North Dayton School Of Science & Discovery,Montgomery,"Dayton, OH, 45415-3654",46.6,Dayton, OH, 45415,3654
263,Virtual Community School Of Ohio,Virtual Community School Of Ohio,Franklin,"Reynoldsburg, OH, 43068-9707",53.2,Reynoldsburg, OH, 43068,9707
264,Eagle Academy,Eagle Academy,Lucas,"Toledo, OH, 43605-2743",36.1,Toledo, OH, 43605,2743
265,Richard Allen Academy II,Richard Allen Academy II,Montgomery,"Dayton, OH, 45406-5804",53.4,Dayton, OH, 45406,5804
266,Richard Allen Academy III,Richard Allen Academy III,Butler,"Hamilton, OH, 45011-4566",60,Hamilton, OH, 45011,4566
267,Hamilton Cnty Math & Science,Hamilton Cnty Math & Science,Hamilton,"Cincinnati, OH, 45231-1311",67.3,Cincinnati, OH, 45231,1311
268,Arts & College Preparatory Academy,Arts & College Preparatory Academy,Franklin,"Columbus, OH, 43232-4161",72.4,Columbus, OH, 43232,4161
269,Sciotoville,Sciotoville,Scioto,"Portsmouth, OH, 45662-5549",61.1,Portsmouth, OH, 45662,5549
270,Marion City Digital Academy,Marion City,Marion,"Marion, OH, 43302-5530",37.3,Marion, OH, 43302,5530
271,Urbana Community School,Urbana City,Champaign,"Urbana, OH, 43078-1498",46.8,Urbana, OH, 43078,1498
273,Lorain K-12 Digital Academy,Lorain City,Franklin,"Lorain, OH, 44052-0000",51.3,Lorain, OH, 44052,0000
274,Ridgedale Community School,Ridgedale Local,Marion,"Morral, OH, 43337-9302",42.4,Morral, OH, 43337,9302
275,West Central Learning Academy II,West Central Learning Academy II,Allen,"Lima, OH, 45801-4215",46.6,Lima, OH, 45801,4215
