Building IRN,Building Name,District IRN,District Name,County,Region,Address,City and Zip Code,Phone #,Principal,Performance Index Score 2016-17,Performance Index Percent 2016-17,Letter Grade of Performance Index,Percent of Students Not Tested,Percent of Students Below,Percent of Students Basic,Percent of Students Proficient,Percent of Students Accelerated,Percent of Students Advanced,Percent of Students Advanced Plus,Gifted Performance Index Score 2016-17,Gifted Performance Index 2016-17,Percent of Gifted Students Not Tested,Percent of Gifted Students Below,Percent of Gifted Students Basic,Percent of Gifted Students Proficient,Percent of Gifted Students Accelerated,Percent of Gifted Students Advanced,Percent of Gifted Students Advanced Plus,Performance Index Score 2015-16,Performance Index Score 2014-15,Watermark,,
9149,Constellation Schools: Westside Community School of the Arts,9149,Constellation Schools: Westside Community School of the Arts,Cuyahoga,Region 3,5730 Broadview Rd,"Parma, OH, 44134-1602",(216) 688-1900,Deborah A. Rotolo,70.592,58.8,D,0,30.2,26.5,25.1,13.1,5.1,0,0,0,0,0,0,0,0,0,0,66.567,82.63,,,9149
9164,Central Academy of Ohio,9164,Central Academy of Ohio,Lucas,Region 1,2727 Kenwood Blvd,"Toledo, OH, 43606-3216",(419) 205-9800,Mariam L. Saleh,46.405,38.7,F,0,66,19.6,10.5,3.3,0.7,0,0,0,0,0,0,0,0,0,0,43.91,55.741,,,9164
9171,Star Academy of Toledo,9171,Star Academy of Toledo,Lucas,Region 1,5025 Glendale Ave,"Toledo, OH, 43614-1855",(419) 720-6330,Vincent N. Riccardi,59.44,49.5,F,0,45.1,25.4,19.8,7.5,2.2,0,0,0,0,0,0,0,0,0,0,63.249,66.283,,,9171
9179,Horizon Science Academy Columbus Middle School,9179,Horizon Science Academy Columbus Middle School,Franklin,Region 11,2350 Morse Rd,"Columbus, OH, 43229-5801",(614) 428-6564,Hasan Akkaya,61.909,51.6,D,0,42.5,25.4,18.4,9.7,3.7,0.4,0,0,0,0,0,0,0,0,0,63.632,68.992,,,9179
9181,Clay Avenue Community School,9181,Clay Avenue Community School,Lucas,Region 1,1030 Clay Ave,"Toledo, OH, 43608-2167",(419) 727-9900,,57.232,47.7,F,0,43.7,32.1,18.3,4.8,1,0,0,0,0,0,0,0,0,0,0,54.597,60.617,,,9181
9192,Foundation Academy,9192,Foundation Academy,Richland,Region 7,1050 Wyandotte Ave,"Mansfield, OH, 44906-1939",(419) 526-9540,,79.982,66.7,D,0,16.5,29.4,28.5,18.1,7.4,0,0,0,0,0,0,0,0,0,0,73.294,79.107,,,9192
9283,"Dayton Early College Academy, Inc",9283,"Dayton Early College Academy, Inc",Montgomery,Region 10,300 College Park,"Dayton, OH, 45469-0001",(937) 229-5780,Danya N. Berry,85.411,71.2,C,0,10.1,27.5,34.8,19.9,7.6,0,0,0,0,0,0,0,0,0,0,83.654,NC,,,9283
9953,Sullivant Avenue Community School,9953,Sullivant Avenue Community School,Franklin,Region 11,3435 Sullivant Ave,"Columbus, OH, 43204-1103",(614) 308-5991,Jamie A. Lama,59.564,49.6,F,0,47.7,21.3,19.1,9,2.9,0,0,0,0,0,0,0,0,0,0,56.471,67.415,,,9953
9954,Harrisburg Pike Community School,9954,Harrisburg Pike Community School,Franklin,Region 11,680 Harrisburg Pike,"Columbus, OH, 43223-2100",(614) 223-1510,Dreama R. Carroll,54.028,45,F,0,52.2,25.3,16.1,5.8,0.6,0,0,0,0,0,0,0,0,0,0,69.77,72.925,,,9954
9955,Madison Avenue School of Arts,9955,Madison Avenue School of Arts,Lucas,Region 1,1511 Madison Ave,"Toledo, OH, 43604-4433",(419) 259-4000,Lindsey B. Day,60.892,50.7,D,0,42.1,27.1,21,7.3,2.4,0,0,0,0,0,0,0,0,0,0,48.841,64.221,,,9955
9957,Klepinger Community School,9957,Klepinger Community School,Montgomery,Region 10,3650 Klepinger Rd,"Dayton, OH, 45416-1919",(937) 610-1710,Melissa D. McManaway,63.339,52.8,D,3.4,38.8,21.3,18.9,10.6,7,0,0,0,0,0,0,0,0,0,0,65.115,54.364,,,9957
9964,Sciotoville Elementary Academy,9964,Sciotoville Elementary Academy,Scioto,Region 15,5540 3rd St,"Sciotoville, OH, 45662-5402",(740) 776-2916,Foresta Shope,87.218,72.7,C,0,18,13.5,31.6,21.1,15.8,0,0,0,0,0,0,0,0,0,0,81.496,84.122,,,9964
9990,Horizon Science Academy Elementary School,9990,Horizon Science Academy Elementary School,Franklin,Region 11,2835 Morse Rd,"Columbus, OH, 43231-6033",(614) 475-4585,Jessica L. Shoaf,76.686,63.9,D,0,23.4,24.6,30.2,14.4,7.4,0,0,0,0,0,0,0,0,0,0,68.552,76.438,,,9990
9997,KIPP Columbus,9997,KIPP Columbus,Franklin,Region 11,2750 Agler Rd,"Columbus, OH, 43224-4616",(614) 263-6137,,76.776,64,D,0,24.2,24,27.2,16.3,7.9,0.5,0,0,0,0,0,0,0,0,0,67.917,71.627,,,9997
10007,Horizon Science Academy Denison Elementary School,10007,Horizon Science Academy Denison Elementary School,Cuyahoga,Region 3,2261 Columbus Rd,"Cleveland, OH, 44113-4230",(216) 661-8840,Tracy L. Hammond,53,44.2,F,0,51.1,28.9,16.7,3.3,0,0,0,0,0,0,0,0,0,0,0,50.751,69.12,,,10007
10036,Cesar Chavez College Preparatory School,10036,Cesar Chavez College Preparatory School,Franklin,Region 11,1500 W 3rd Ave Ste 125,"Columbus, OH, 43212-2883",(614) 294-3020,,76.598,63.8,D,0,25.4,22.3,28.2,14.8,9.3,0,0,0,0,0,0,0,0,0,0,55.754,68.995,,,10036
10180,Mount Auburn International Academy,10180,Mount Auburn International Academy,Hamilton,Region 13,244 Southern Ave,"Cincinnati, OH, 45219-3023",(513) 241-5500,,58.201,48.5,F,0,43.9,29.3,20.6,5.8,0.4,0,0,0,0,0,0,0,0,0,0,58.673,66.626,,,10180
10182,Performance Academy Eastland,10182,Performance Academy Eastland,Franklin,Region 11,2220 S Hamilton Rd,"Columbus, OH, 43232-4304",(614) 314-6301,Norbert D. Tate,66.853,55.7,D,0.2,36.2,25.9,18.3,11.4,8,0,0,0,0,0,0,0,0,0,0,59.975,71.405,,,10182
10205,L. Hollingworth School for Talented and Gifted,10205,L. Hollingworth School for Talented and Gifted,Lucas,Region 1,653 Miami St,"Toledo, OH, 43605-2277",(419) 705-3411,Terrence Franklin,61.358,51.1,D,0,42.8,25.3,20.7,8.3,2.9,0,0,0,0,0,0,0,0,0,0,55.386,74.99,,,10205
11291,Village Preparatory School,43786,Cleveland Municipal,Cuyahoga,Region 3,1417 E 36th St,"Cleveland, OH, 44114-4116",(216) 456-2070,Randall A. Yates,80.676,67.2,D,0,24.1,17.3,25.4,22.2,11.1,0,0,0,0,0,0,0,0,0,0,74.034,80.398,,,11291
11381,Greater Summit County Early Learning Center,12931,Office of School Sponsorship,Franklin,Region 8,1651 Massillon Rd,"Akron, OH, 44312-4221",(234) 718-2626,Teresa M. Graves,107.222,89.4,B,0,0.9,4.6,30.6,30.6,33.3,0,NC,NC,0,0,0,0,0,100,0,108.81,104.769,,,11381
11390,Bella Academy of Excellence,11390,Bella Academy of Excellence,Cuyahoga,Region 3,19114 Bella Dr,"Cleveland, OH, 44119-3007",(216) 481-1500,Arun Dutt,73.333,61.1,D,0,25.6,29.3,24.1,12.5,8.5,0,0,0,0,0,0,0,0,0,0,64.472,66.42,,,11390
11439,Renaissance Academy,11439,Renaissance Academy,Franklin,Region 11,1555 Elaine Rd,"Columbus, OH, 43227-2347",(614) 866-7277,Sharice L. Martin,52.103,43.4,F,0,56.2,23.4,12.8,6.9,0.7,0,0,0,0,0,0,0,0,0,0,47.018,58.699,,,11439
11468,Columbus Bilingual Academy-North,11468,Columbus Bilingual Academy-North,Franklin,Region 11,2100 Morse Rd,"Columbus, OH, 43229-3051",(614) 525-0309,,68.299,56.9,D,0,33.3,26,25.5,10.1,5.1,0,0,0,0,0,0,0,0,0,0,55.648,61.017,,,11468
11511,Lakeland Academy Community School,123257,North Central Ohio ESC,Seneca,Region 12,101 E Main St,"Freeport, OH, 43973-9355",(740) 658-1042,,56.324,46.9,F,0,50,25,11.8,13.2,0,0,0,0,0,0,0,0,0,0,0,60.299,7.429,,,11511
11533,Horizon Science Academy Lorain,11533,Horizon Science Academy Lorain,Lorain,Region 3,760 Tower Blvd,"Lorain, OH, 44052-5223",(440) 282-4277,Muhammed F. Sumer,73.438,61.2,D,0,24.1,29.7,28.4,13.8,4,0,0,0,0,0,0,0,0,0,0,68.385,79.544,,,11533
11534,Horizon Science Academy Dayton High School,11534,Horizon Science Academy Dayton High School,Montgomery,Region 10,250 Shoup Mill Rd,"Dayton, OH, 45415-3517",(937) 281-1480,Hakan Bagcioglu,50.363,42,F,0.2,58.7,22.2,14.1,3.6,1.1,0,0,0,0,0,0,0,0,0,0,52.56,61.285,,,11534
11923,Northeast Ohio College Preparatory School,43786,Cleveland Municipal,Cuyahoga,Region 3,2280 Professor Ave,"Cleveland, OH, 44113-4467",(216) 965-0580,Jennifer Z. Sullivan,60,50,D,0,43.5,27.2,19.3,6.9,3.1,0,NC,NC,0,8.7,17.4,34.8,21.7,17.4,0,66.739,71.742,,,11923
11947,Imagine Akron Academy,12931,Office of School Sponsorship,Franklin,Region 8,2405 Romig Rd,"Akron, OH, 44320-4000",(330) 379-1034,Audrea M. Pettaway,NC,NC,NR,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,,11947
11967,The Richland School of Academic Arts,123257,North Central Ohio ESC,Seneca,Region 7,1456 Park Ave W,"Ontario, OH, 44906-2700",(419) 522-7273,,88.709,73.9,C,0,12.4,19,31.6,24.7,12.4,0,0,0,0,0,0,0,0,0,0,88.795,88.856,,,11967
11972,Graham Expeditionary Middle School,11972,Graham Expeditionary Middle School,Franklin,Region 11,3950 Indianola Ave,"Columbus, OH, 43214-3167",(614) 253-4000,Gregory C. Brown,72.982,60.8,D,0,29.2,23.1,26.9,14.6,6.1,0,0,0,0,0,0,0,0,0,0,72.171,75.179,,,11972
11976,Horizon Science Academy Dayton Downtown,11976,Horizon Science Academy Dayton Downtown,Montgomery,Region 10,121 S Monmouth St,"Dayton, OH, 45403-2127",(937) 281-1980,Mustafa Ada,65.429,54.5,D,1.5,37.4,23,21.2,10.1,6.7,0,0,0,0,0,0,0,0,0,0,60.828,65.737,,,11976
11986,Horizon Science Academy Youngstown,11986,Horizon Science Academy Youngstown,Mahoning,Region 5,3403 Southern Blvd,"Youngstown, OH, 44507-2044",(330) 782-3003,Ferhat Kapki,54.042,45,F,3.9,46.5,26.2,15.3,6.3,1.8,0,0,0,0,0,0,0,0,0,0,50.997,67.824,,,11986
12009,Zenith Academy East,12009,Zenith Academy East,Franklin,Region 11,2261 S Hamilton Rd,"Columbus, OH, 43232-4301",(614) 577-0997,Tia L. Lamar,62.065,51.7,D,0,39.4,30.2,17.2,9,4.2,0,0,0,0,0,0,0,0,0,0,63.22,72.33,,,12009
12010,Cleveland College Preparatory School,43786,Cleveland Municipal,Cuyahoga,Region 3,4906 Fleet Ave,"Cleveland, OH, 44105-3328",(216) 341-1347,Phillip A. Penn,63.341,52.8,D,0,38.1,28.3,22.7,8.7,2.2,0,0,0,0,0,0,0,0,0,0,65.95,64.611,,,12010
12011,Columbus Performance Academy,12011,Columbus Performance Academy,Franklin,Region 11,2 Easton Oval Ste 525,"Columbus, OH, 43219-7008",(614) 318-0720,,69.472,57.9,D,0,32.1,26.8,20,15.8,5.3,0,0,0,0,0,0,0,0,0,0,60.614,61.745,,,12011
12025,Constellation Schools: Stockyard Community Middle,12025,Constellation Schools: Stockyard Community Middle,Cuyahoga,Region 3,5730 Broadview Rd,"Parma, OH, 44134-1602",(216) 961-5052,Amber J. Steele,60.601,50.5,D,0,44.3,25.1,18,8.7,3.8,0,0,0,0,0,0,0,0,0,0,49.845,59.077,,,12025
12026,Constellation Schools: Collinwood Village Academy,12026,Constellation Schools: Collinwood Village Academy,Cuyahoga,Region 3,5730 Broadview Rd,"Parma, OH, 44134-1602",(216) 451-4022,Bethany A. Scott,73.333,61.1,D,0.5,23.2,30.8,25.3,16.2,4,0,0,0,0,0,0,0,0,0,0,63.583,80.698,,,12026
12029,Citizens Leadership Academy,43786,Cleveland Municipal,Cuyahoga,Region 3,9711 Lamont Ave,"Cleveland, OH, 44106-4124",(216) 229-8185,Sydney S. Gruhin,75.664,63.1,D,0.4,23.9,24.8,28.6,16.5,5.7,0,0,0,0,0,0,0,0,0,0,77.788,80.528,,,12029
12030,Near West Intergenerational School,43786,Cleveland Municipal,Cuyahoga,Region 3,3805 Terrett Ave,"Cleveland, OH, 44113-2847",(216) 961-4308,Molly R. Toussant,89.524,74.6,C,1.2,12.3,18.3,24.2,21.8,22.2,0,0,0,0,0,0,0,0,0,0,89.302,91.271,,,12030
12031,Entrepreneurship Preparatory School - Woodland Hills Campus,43786,Cleveland Municipal,Cuyahoga,Region 3,9201 Crane Ave,"Cleveland, OH, 44105-1627",(216) 298-1164,,63.957,53.3,D,0.1,37.7,27.3,23.3,9.4,2.3,0,0,0,0,0,0,0,0,0,0,66.524,84.012,,,12031
12033,Foxfire Intermediate School,48850,Maysville Local,Muskingum,Region 12,2805 Pinkerton Ln,"Zanesville, OH, 43701-8593",(740) 453-4509,Amanda K. Matthews,102.5,85.4,B,0,5,15,5,30,45,0,0,0,0,0,0,0,0,0,0,57.406,38.95,,,12033
12045,Patriot Preparatory Academy,12045,Patriot Preparatory Academy,Franklin,Region 11,4938 Beatrice Dr,"Columbus, OH, 43227-2113",(614) 864-5332,,73.393,61.2,D,0,23.6,30,31,12,3.5,0,NC,NC,0,0,0,0,100,0,0,66.655,85.289,,,12045
12054,North Central Academy,123257,North Central Ohio ESC,Seneca,Region 1,928 W Market St Ste B,"Tiffin, OH, 44883-2529",(419) 448-5786,,55.889,46.6,F,0,52.2,20,23.3,4.4,0,0,0,0,0,0,0,0,0,0,0,51.068,69.828,,,12054
12060,Akros Middle School,12060,Akros Middle School,Summit,Region 8,265 Park St,"Akron, OH, 44304-1305",(330) 374-6704,,59.502,49.6,F,0,46.4,23.4,19,9,2.2,0,0,0,0,0,0,0,0,0,0,58.558,72.907,,,12060
12078,Quest Community School,12931,Office of School Sponsorship,Franklin,Region 3,12000 Snow Rd Ste 4,"Parma, OH, 44130-9313",(216) 220-4412,Katherine M. Gulliford,NC,NC,NR,0,60,20,20,0,0,0,0,0,0,0,0,0,0,0,0,NC,67.273,,,12078
12105,Southside Academy,12105,Southside Academy,Mahoning,Region 5,1400 Oak Hill Ave,"Youngstown, OH, 44507-1018",(330) 774-5562,Stephanie A. Groscost,55.114,45.9,F,0,45.8,33.3,15.9,4.5,0.4,0,0,0,0,0,0,0,0,0,0,49.465,52.132,,,12105
12501,Beacon Hill Academy,50526,Tri-County ESC,Wayne,Region 9,PO Box 285,"Mount Eaton, OH, 44659-0285",(330) 359-5600,Bradley A. Herman,93.709,78.1,C,0,9.9,13.2,31.1,31.8,13.9,0,0,0,0,0,0,0,0,0,0,80.823,66.886,,,12501
12513,Madisonville SMART Elementary,12513,Madisonville SMART Elementary,Hamilton,Region 13,4324 Homer Ave,"Cincinnati, OH, 45227-2943",(513) 241-1101,LEAH N. Donley,55.587,46.3,F,0,49.5,26.7,15.9,6.7,1.3,0,0,0,0,0,0,0,0,0,0,50.426,65.659,,,12513
12536,Newbridge Math & Reading Preparatory Academy,12536,Newbridge Math & Reading Preparatory Academy,Franklin,Region 11,3850 Sullivant Ave,"Columbus, OH, 43228-4327",(614) 279-6000,Andrew D. Carr,43.977,36.6,F,0,70.1,18.2,9.5,1.5,0.8,0,0,0,0,0,0,0,0,0,0,45.362,64.609,,,12536
12541,University of Cleveland Preparatory School,12541,University of Cleveland Preparatory School,Cuyahoga,Region 3,1906 E 40th St,"Cleveland, OH, 44103-3557",(216) 361-9720,Kenan J. Bishop,57.112,47.6,F,0.6,45.9,28,17.2,5.4,2.8,0,0,0,0,0,0,0,0,0,0,55.63,74.175,,,12541
12545,Imagine Woodbury Academy,50401,Warren County ESC,Warren,Region 10,100 E Woodbury Dr,"Dayton, OH, 45415-2841",(937) 277-1710,,48.846,40.7,F,0,60.8,23.8,8.5,4.6,2.3,0,0,0,0,0,0,0,0,0,0,46.194,51.731,,,12545
12558,Global Village Academy,12931,Office of School Sponsorship,Franklin,Region 3,5720 State Rd,"Parma, OH, 44134-2564",(216) 767-5956,Anna P. Holowatyj,100.419,83.7,B,0,6,8.4,29.3,33,22.8,0.5,NC,NC,0,0,0,0,0,0,100,94.469,101.813,,,12558
12627,STEAM Academy of Akron,12627,STEAM Academy of Akron,Summit,Region 8,1350 Virginia Ave,"Akron, OH, 44306-3603",(330) 773-1100,Nova D. O'Callaghan,72.353,60.3,D,0,29.4,24,26,15.7,4.9,0,0,0,0,0,0,0,0,0,0,59.836,71.519,,,12627
12644,STEAM Academy of Warren,12644,STEAM Academy of Warren,Trumbull,Region 5,261 Elm Rd NE,"Warren, OH, 44483-5003",(330) 394-3200,Jonathan A. Natko,56.667,47.2,F,0,48.8,26.3,15.4,6.3,3.3,0,0,0,0,0,0,0,0,0,0,51.095,67.901,,,12644
12671,Constellation Schools: Eastside Arts Academy,12671,Constellation Schools: Eastside Arts Academy,Cuyahoga,Region 3,6700 Lansing Ave,"Cleveland, OH, 44105-3756",(216) 441-9830,Katherine A. Rybak,57.798,48.2,F,0,49.4,23.2,15.5,7.1,4.8,0,0,0,0,0,0,0,0,0,0,52.308,73.596,,,12671
12684,Broadway Academy,12684,Broadway Academy,Cuyahoga,Region 3,3398 E 55th St,"Cleveland, OH, 44127-1691",(216) 271-7747,Sherree M. Ray-Dillions,39.346,32.8,F,1.7,73.6,19.1,3.6,1.7,0.2,0,0,0,0,0,0,0,0,0,0,44.646,47.286,,,12684
12852,Citizens Academy East,43786,Cleveland Municipal,Cuyahoga,Region 3,12523 Woodside Ave,"Cleveland, OH, 44108-2422",(216) 367-9392,,81.718,68.1,D,0.6,19.2,21.5,28,17.6,13.1,0,0,0,0,0,0,0,0,0,0,79.041,92.157,,,12852
12924,DECA PREP,12924,DECA PREP,Montgomery,Region 10,200 Homewood Ave,"Dayton, OH, 45405-4328",(937) 610-0110,,78.642,65.5,D,0,20.7,24.7,31.7,15.7,7.2,0,0,0,0,0,0,0,0,0,0,68.158,91.911,,,12924
12951,Columbus Collegiate Academy - West,12951,Columbus Collegiate Academy - West,Franklin,Region 11,300 Dana Ave,"Columbus, OH, 43223-1310",(614) 545-9570,Nathan G. Parker,67.651,56.4,D,0.4,36.8,21.8,21.2,13.9,5.8,0,0,0,0,0,0,0,0,0,0,67.714,84.411,,,12951
13030,Graham Primary School,13030,Graham Primary School,Franklin,Region 11,3950 Indianola Ave,"Columbus, OH, 43214-3167",(614) 253-4001,James M. Kutnow,67.284,56.1,D,0,39.6,19.8,19.8,12.1,8.6,0,0,0,0,0,0,0,0,0,0,66.293,74.237,,,13030
13034,Village Preparatory School:: Woodland Hills Campus,43786,Cleveland Municipal,Cuyahoga,Region 3,9201 Crane Ave,"Cleveland, OH, 44105-1627",(216) 298-1164,Christopher J. O'Brien,77.698,64.7,D,0,24.8,21.5,25.6,19.7,8.4,0,0,0,0,0,0,0,0,0,0,64.455,67.109,,,13034
13082,The Haley School,13082,The Haley School,Cuyahoga,Region 3,4901 Galaxy Pkwy Ste A,"Warrensville Heights, OH, 44128-5948",(216) 591-9190,Constance H. Williams,58.149,48.5,F,3.2,41.6,27,17.4,8.2,2.5,0,0,0,0,0,0,0,0,0,0,60.22,58.962,,,13082
13132,Lake Erie College Preparatory School,13132,Lake Erie College Preparatory School,Cuyahoga,Region 3,14405 Saint Clair Ave,"Cleveland, OH, 44110-3433",(216) 453-4556,Denecia M. Dillard,49.291,41.1,F,0,55.4,30.9,10.1,3.2,0.5,0,0,0,0,0,0,0,0,0,0,46.239,55.531,,,13132
13146,STEAM Academy of Dayton,13146,STEAM Academy of Dayton,Montgomery,Region 10,545 Odlin Ave,"Dayton, OH, 45405-2743",(937) 262-7063,Debra A. Johnson,46.847,39,F,0,67.2,17,10.6,3.2,2,0,0,0,0,0,0,0,0,0,0,47.097,64.044,,,13146
13147,STEAM Academy of Warrensville Heights,13147,STEAM Academy of Warrensville Heights,Cuyahoga,Region 3,4700 Richmond Rd Ste 3000,"Warrensville Heights, OH, 44128-5984",(216) 595-2866,Gary D. Lane,65.148,54.3,D,0,38.5,25.2,19.6,11.5,5.2,0,0,0,0,0,0,0,0,0,0,56.649,68.37,,,13147
13148,Stepstone Academy,43786,Cleveland Municipal,Cuyahoga,Region 3,2121 E 32nd St,"Cleveland, OH, 44115-2747",(440) 260-6480,,52.594,43.8,F,0,52.3,28,15.5,4.2,0,0,0,0,0,0,0,0,0,0,0,51.579,88.6,,,13148
13170,Hope Academy for Autism,13170,Hope Academy for Autism,Trumbull,Region 5,1628 Niles Rd SE,"Warren, OH, 44484-5111",(330) 469-9501,,57.303,47.8,F,5.6,48.3,13.5,16.9,10.1,5.6,0,0,0,0,0,0,0,0,0,0,57.059,55.588,,,13170
13173,Imagine Hill Avenue,13173,Imagine Hill Avenue,Lucas,Region 1,6145 Hill Ave,"Toledo, OH, 43615-5600",(419) 867-8167,Sarah A. Carstensen,68.951,57.5,D,0,35,22.4,23.1,15.4,4.2,0,0,0,0,0,0,0,0,0,0,67.619,70.338,,,13173
13175,SunBridge Schools,13175,SunBridge Schools,Lucas,Region 1,2105 N McCord Rd,"Toledo, OH, 43615-3032",(419) 725-5437,Aaron L. Grizaniuk,60.176,50.1,D,0,40.3,31.2,21.5,5.6,1.5,0,0,0,0,0,0,0,0,0,0,51.661,61.767,,,13175
13195,Academy of Educational Excellence,123257,North Central Ohio ESC,Seneca,Region 1,728 Parkside Blvd,"Toledo, OH, 43607-0000",,Israel Irizarry,50.064,41.7,F,0,55.8,27.6,15.4,1.3,0,0,0,0,0,0,0,0,0,0,0,45.942,82.115,,,13195
13198,Brookwood Academy,13198,Brookwood Academy,Franklin,Region 11,2685 E Livingston Ave,"Columbus, OH, 43209-2961",(614) 231-1199,,36.822,30.7,F,0,86.9,7.5,0.9,2.8,1.9,0,0,0,0,0,0,0,0,0,0,40.921,32.053,,,13198
13199,Nexus Academy of Cleveland,13199,Nexus Academy of Cleveland,Cuyahoga,Region 3,4850 Pearl Rd,"Cleveland, OH, 44109-4138",(216) 741-2991,John D. Psenicska,63.803,53.2,D,0,37.3,28.2,25.4,6.3,2.8,0,0,0,0,0,0,0,0,0,0,64.186,83.066,,,13199
13200,Nexus Academy of Toledo,13200,Nexus Academy of Toledo,Lucas,Region 1,600 Jefferson Ave,"Toledo, OH, 43604-1071",(419) 244-8875,,62.444,52,D,0,37.8,31.1,20,8.9,2.2,0,0,0,0,0,0,0,0,0,0,67.093,90.706,,,13200
13201,Nexus Academy of Columbus,13201,Nexus Academy of Columbus,Franklin,Region 11,4689 Hilton Corporate Dr,"Columbus, OH, 43232-4152",(614) 866-4761,Patrick R. Hickman,58.88,49.1,F,0,48,21.6,22.4,4.8,3.2,0,0,0,0,0,0,0,0,0,0,57.684,85.641,,,13201
13232,A+ Children's Academy,13232,A+ Children's Academy,Franklin,Region 11,114 Obetz Rd,"Columbus, OH, 43207-4031",(614) 491-8502,,70.214,58.5,D,0,27.9,30.7,27.9,7.1,6.4,0,0,0,0,0,0,0,0,0,0,63.103,77.398,,,13232
13253,Ohio College Preparatory School,13253,Ohio College Preparatory School,Cuyahoga,Region 3,21100 Southgate Park Blvd,"Maple Heights, OH, 44137-3004",(216) 453-4550,Robert Williams,58.066,48.4,F,0,47.9,24.8,15.6,7.9,3.7,0,0,0,0,0,0,0,0,0,0,51.949,56.466,,,13253
13254,Akron Preparatory School,13254,Akron Preparatory School,Summit,Region 8,1200 E Market St Ste 3360,"Akron, OH, 44305-4018",(330) 247-6232,Donald L. Gordon Jr,57.89,48.2,F,0,48,24.5,18,6.1,3.4,0,0,0,0,0,0,0,0,0,0,67.042,74.535,,,13254
13255,Canton College Preparatory School,13255,Canton College Preparatory School,Stark,Region 9,101 Cleveland Ave NW,"Canton, OH, 44702-1707",(330) 455-0498,Darryl M. Lindsay,65.272,54.4,D,0,37.1,26.9,21.1,10.2,4.8,0,0,0,0,0,0,0,0,0,0,61.961,65.323,,,13255
13864,Cincinnati Technology Academy,13864,Cincinnati Technology Academy,Hamilton,Region 13,3800 Glenway Ave,"Cincinnati, OH, 45205-1436",(513) 471-7323,,50.297,41.9,F,0.5,56.4,24.8,16.8,1,0.5,0,0,0,0,0,0,0,0,0,0,50.302,40.131,,,13864
13892,Franklinton Preparatory Academy,13892,Franklinton Preparatory Academy,Franklin,Region 11,40 Chicago Ave,"Columbus, OH, 43222-1132",(614) 636-3721,Martin S. Griffith,40.5,33.8,F,12,54,25,7,1,1,0,0,0,0,0,0,0,0,0,0,55.821,76.5,,,13892
13967,Cincinnati Learning Schools,13967,Cincinnati Learning Schools,Hamilton,Region 13,5641 Belmont Ave,"Cincinnati, OH, 45224-3101",(513) 783-1025,Yolanda D. Cooper,52.813,44,F,0.4,52.7,26.2,15.6,4.3,0.8,0,0,0,0,0,0,0,0,0,0,44.2,62.076,,,13967
13994,"Albert Einstein Academy for Letters, Arts and Sciences-Ohio",123257,North Central Ohio ESC,Seneca,Region 3,3600 Crocker Rd,"Westlake, OH, 44145-6314",,,82.688,68.9,D,0,19.1,19.9,30.1,21.8,9.1,0,NC,NC,0,0,0,20,40,40,0,80.169,91.984,,,13994
13999,Rise & Shine Academy,123257,North Central Ohio ESC,Seneca,Region 1,3248 Warsaw St,"Toledo, OH, 43608-1852",(419) 244-9900,Tashlai McKinstry,80,66.7,D,3.7,23.5,14.8,19.8,16,22.2,0,0,0,0,0,0,0,0,0,0,57.368,65,,,13999
14061,Chapelside Cleveland Academy,14061,Chapelside Cleveland Academy,Cuyahoga,Region 3,3845 E 131st St,"Cleveland, OH, 44120-4661",(216) 283-6589,Anna M. Barrett,52.652,43.9,F,0,55.5,24.6,10.5,5.2,4.1,0,0,0,0,0,0,0,0,0,0,48.447,57.046,,,14061
14063,University Academy,14063,University Academy,Summit,Region 8,107 S Arlington St,"Akron, OH, 44306-1328",(330) 535-7728,Willie Banks,51.517,42.9,F,0.9,55.9,22.7,15.6,2.4,2.4,0,0,0,0,0,0,0,0,0,0,45.105,46.213,,,14063
14064,Winton Preparatory Academy,14064,Winton Preparatory Academy,Hamilton,Region 13,4750 Winton Rd,"Cincinnati, OH, 45232-1501",(513) 276-4166,Caroline A. Hill,44.991,37.5,F,0,68.8,18.7,7.5,4.1,0.9,0,0,0,0,0,0,0,0,0,0,52.895,63.309,,,14064
14065,Lincoln Park Academy,14065,Lincoln Park Academy,Cuyahoga,Region 3,3185 W 41st St,"Cleveland, OH, 44109-1275",(216) 263-7008,Alissa M. Clugh,60.395,50.3,D,0,45.6,23.4,17.6,10,3.3,0,0,0,0,0,0,0,0,0,0,43.937,51.25,,,14065
14066,Main Preparatory Academy,14066,Main Preparatory Academy,Summit,Region 8,1035 Clay St,"Akron, OH, 44301-1517",(234) 738-1925,Nikita M. Tidwell,66.163,55.1,D,0,32.6,31.4,25.6,5.8,4.7,0,0,0,0,0,0,0,0,0,0,53.373,NC,,,14066
14081,Insight School of Ohio,14081,Insight School of Ohio,Franklin,Region 11,2760 Airport Dr Ste 125,"Columbus, OH, 43219-2284",(614) 300-2766,,56.725,47.3,F,1.4,45,28.2,18.2,5.7,1.5,0,0,0,0,0,0,0,0,0,0,56.132,69.891,,,14081
14090,Berwyn East Academy,123257,North Central Ohio ESC,Seneca,Region 11,1850 Bostwick Rd,"Columbus, OH, 43227-3374",(614) 564-9548,Shannan J. Jones,51.149,42.6,F,0,53.4,30.4,11.5,2.7,2,0,0,0,0,0,0,0,0,0,0,56.614,85,,,14090
