Building IRN,Building Name,District IRN,District Name,County,Region,Open/Closed Status as of 9/12/2017,School Type,Student Group,Read 3rd Grade 2016-2017 % Proficient or above,Math 3rd Grade 2016-2017 % Proficient or above,Read 4th Grade 2016-2017 % Proficient or above,Math 4th Grade 2016-2017 % Proficient or above,Social Studies 4th Grade 2016-2017 % Proficient or above,Read 5th Grade 2016-2017 % Proficient or above,Math 5th Grade 2016-2017 % Proficient or above,Science 5th Grade 2016-2017 % Proficient or above,Read 6th Grade 2016-2017 % Proficient or above,Math 6th Grade 2016-2017 % Proficient or above,Social Studies 6th Grade 2016-2017 % Proficient or above,Read 7th Grade 2016-2017 % Proficient or above,Math 7th Grade 2016-2017 % Proficient or above,Read 8th Grade 2016-2017 % Proficient or above,Math 8th Grade 2016-2017 % Proficient or above,Science 8th Grade 2016-2017 % Proficient or above,History End of Course 2016-2017 % Proficient or Above,Government End of Course 2016-2017 % Proficient or Above,Physical Science End of Course 2016-2017 % Proficient or Above,English Language Arts I End of Course 2016-2017 % Proficient or Above,English Language Arts II End of Course 2016-2017 % Proficient or Above,Algebra I End of Course 2016-2017 % Proficient or Above,Geometry End of Course 2016-2017 % Proficient or Above,Integrated Math I End of Course 2016-2017 % Proficient or Above,Integrated Math II End of Course 2016-2017 % Proficient or Above,Biology End of Course 2016-2017 % Proficient or Above,Attendance rate 2016-2017,4-Year Longitudinal Graduation Rate - Class of 2016,5-Year Longitudinal Graduation Rate - Class of 2015,Enrollment,% of Total Enrollment,Watermark
010215,Elizabeth Price Elementary School,043836,Cuyahoga Falls City,Summit,Region 8,Open,Elementary School,Disadvantaged,78.4,86.5,40.0,73.3,76.7,57.1,54.3,48.6,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,>95.0,NC,NC,222,63.1,
010215,Elizabeth Price Elementary School,043836,Cuyahoga Falls City,Summit,Region 8,Open,Elementary School,NonDisadvantaged,>95.0,>95.0,51.7,86.2,79.3,84.2,89.5,78.9,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,>95.0,NC,NC,130,36.9,
010216,Canton City Digital Academy,043711,Canton City,Stark,Region 9,Open,High School,Disadvantaged,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,15.4,26.3,NC,12.0,8.8,3.2,0.0,NC,NC,23.8,90.4,53.8,77.1,84,>95.0,
010216,Canton City Digital Academy,043711,Canton City,Stark,Region 9,Open,High School,NonDisadvantaged,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,
010243,Lockland Middle School,044230,Lockland Local,Hamilton,Region 13,Open,Middle School,Disadvantaged,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,20.8,12.5,15.9,24.4,24.4,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,>95.0,NC,NC,80,89.9,
010243,Lockland Middle School,044230,Lockland Local,Hamilton,Region 13,Open,Middle School,NonDisadvantaged,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,
010244,Danbury Middle School,048934,Danbury Local,Ottawa,Region 1,Open,Middle School,Disadvantaged,NC,NC,NC,NC,NC,73.3,53.3,66.7,NC,NC,NC,75.0,33.3,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,93.2,NC,NC,47,34.1,
010244,Danbury Middle School,048934,Danbury Local,Ottawa,Region 1,Open,Middle School,NonDisadvantaged,NC,NC,NC,NC,NC,>95.0,66.7,88.9,95.0,80.0,90.0,69.2,60.7,54.2,71.4,66.7,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,>95.0,NC,NC,91,65.9,
010249,Ella Canavan Elementary School,044388,Medina City SD,Medina,Region 8,Open,Elementary School,Disadvantaged,75.0,66.7,72.7,81.8,81.8,64.7,58.8,64.7,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,>95.0,NC,NC,89,24.1,
010249,Ella Canavan Elementary School,044388,Medina City SD,Medina,Region 8,Open,Elementary School,NonDisadvantaged,76.9,80.4,>95.0,>95.0,>95.0,94.9,86.2,>95.0,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,>95.0,NC,NC,280,75.9,
010272,Ellet High School,043489,Akron City,Summit,Region 8,Open,High School,Disadvantaged,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,64.5,70.3,NC,48.1,49.1,21.8,22.0,NC,NC,50.6,92.1,85.9,92.2,1000,>95.0,
010272,Ellet High School,043489,Akron City,Summit,Region 8,Open,High School,NonDisadvantaged,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,
010295,Welch Elementary School,047365,Northwest Local,Hamilton,Region 13,Open,Elementary School,Disadvantaged,33.8,45.1,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,93.5,NC,NC,228,59.1,
010295,Welch Elementary School,047365,Northwest Local,Hamilton,Region 13,Open,Elementary School,NonDisadvantaged,81.4,81.4,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,>95.0,NC,NC,158,40.9,
010298,Western Reserve Elementary School,048397,Western Reserve Local,Mahoning,Region 5,Open,Elementary School,Disadvantaged,NC,NC,66.7,93.3,>95.0,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,94.2,NC,NC,69,26.0,
010298,Western Reserve Elementary School,048397,Western Reserve Local,Mahoning,Region 5,Open,Elementary School,NonDisadvantaged,80.0,83.3,85.7,89.3,89.3,80.0,92.5,87.5,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,>95.0,NC,NC,195,73.6,
010306,Elm Avenue Elementary School,045146,Wyoming City,Hamilton,Region 13,Open,Elementary School,Disadvantaged,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,93.9,NC,NC,17,8.1,
010306,Elm Avenue Elementary School,045146,Wyoming City,Hamilton,Region 13,Open,Elementary School,NonDisadvantaged,88.9,93.2,>95.0,94.3,>95.0,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,>95.0,NC,NC,194,91.9,
010314,Martins Ferry Middle School,044347,Martins Ferry City,Belmont,Region 12,Open,Middle School,Disadvantaged,NC,NC,NC,NC,NC,47.0,45.5,51.5,44.6,46.2,53.8,50.0,41.8,30.0,29.8,43.3,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,93.3,NC,NC,265,61.1,
010314,Martins Ferry Middle School,044347,Martins Ferry City,Belmont,Region 12,Open,Middle School,NonDisadvantaged,NC,NC,NC,NC,NC,63.6,66.7,54.5,72.5,67.5,75.0,84.4,64.1,71.1,75.0,84.4,NC,NC,NC,NC,NC,>95.0,NC,NC,NC,NC,>95.0,NC,NC,170,39.2,
010348,Wauseon Elementary School,045641,Wauseon Exempted Village,Fulton,Region 1,Open,Elementary School,Disadvantaged,71.4,69.1,60.6,80.3,92.4,71.4,71.4,75.0,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,>95.0,NC,NC,187,42.2,
010348,Wauseon Elementary School,045641,Wauseon Exempted Village,Fulton,Region 1,Open,Elementary School,NonDisadvantaged,89.4,87.2,80.3,89.5,94.7,88.1,84.5,85.7,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,>95.0,NC,NC,256,57.8,
010355,Toth Elementary School,045583,Perrysburg Exempted Village,Wood,Region 1,Open,Elementary School,Disadvantaged,83.3,75.0,90.0,NC,>95.0,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,>95.0,NC,NC,60,11.2,
010355,Toth Elementary School,045583,Perrysburg Exempted Village,Wood,Region 1,Open,Elementary School,NonDisadvantaged,84.1,93.9,92.9,94.7,>95.0,88.9,87.1,92.1,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,>95.0,NC,NC,476,88.8,
010371,Elmhurst Elementary School,044909,Toledo City,Lucas,Region 1,Open,Elementary School,Disadvantaged,82.4,88.2,66.7,86.2,75.9,88.0,80.8,80.8,64.0,54.2,54.2,61.5,76.9,57.1,85.7,71.4,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,>95.0,NC,NC,219,39.2,
010371,Elmhurst Elementary School,044909,Toledo City,Lucas,Region 1,Open,Elementary School,NonDisadvantaged,80.0,86.0,77.1,91.4,91.4,85.3,79.4,85.3,83.7,77.6,81.6,78.3,73.9,58.3,90.9,91.7,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,>95.0,NC,NC,339,60.8,
010413,Elmwood Elementary School,044040,Garfield Heights City Schools,Cuyahoga,Region 3,Open,Elementary School,Disadvantaged,59.4,68.1,41.7,45.8,50.8,50.9,16.4,32.7,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,93.2,NC,NC,353,81.1,
010413,Elmwood Elementary School,044040,Garfield Heights City Schools,Cuyahoga,Region 3,Open,Elementary School,NonDisadvantaged,72.7,80.0,76.9,64.3,71.4,82.4,58.8,64.7,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,>95.0,NC,NC,82,18.9,
010421,Keifer Academy,044818,Springfield City School District,Clark,Region 10,Open,High School,Disadvantaged,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,5.0,5.3,15.0,7.3,14.0,20.0,3.6,3.7,5.4,0.0,NC,NC,10.5,85.3,8.5,10.9,338,>95.0,
010421,Keifer Academy,044818,Springfield City School District,Clark,Region 10,Open,High School,NonDisadvantaged,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,
010439,Elmwood High School,050682,Elmwood Local,Wood,Region 1,Open,High School,Disadvantaged,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,79.3,81.8,NC,63.0,64.5,48.8,51.6,NC,NC,70.0,>95.0,>95.0,91.7,77,24.1,
010439,Elmwood High School,050682,Elmwood Local,Wood,Region 1,Open,High School,NonDisadvantaged,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,74.2,73.8,NC,60.0,58.9,55.4,51.5,NC,NC,69.9,>95.0,>95.0,>95.0,242,75.9,
010447,Elmwood Place Elementary School,044719,St Bernard-Elmwood Place City,Hamilton,Region 13,Open,Elementary School,Disadvantaged,76.7,83.3,68.8,>95.0,90.6,61.8,74.3,80.0,80.6,90.3,77.4,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,94.2,NC,NC,273,92.2,
010447,Elmwood Place Elementary School,044719,St Bernard-Elmwood Place City,Hamilton,Region 13,Open,Elementary School,NonDisadvantaged,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,>95.0,NC,NC,23,7.8,
010454,Ely Elementary School,043943,Elyria City Schools,Lorain,Region 2,Open,Elementary School,Disadvantaged,47.5,50.8,50.0,54.0,74.0,44.7,42.6,51.1,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,94.4,NC,NC,310,74.0,
010454,Ely Elementary School,043943,Elyria City Schools,Lorain,Region 2,Open,Elementary School,NonDisadvantaged,60.0,80.0,30.8,23.1,58.3,81.0,71.4,85.7,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,>95.0,NC,NC,109,26.0,
010462,Elyria High School,043943,Elyria City Schools,Lorain,Region 2,Open,High School,Disadvantaged,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,50.4,55.0,NC,43.2,28.9,18.5,19.2,NC,NC,41.3,91.2,79.9,86.2,1184,67.5,
010462,Elyria High School,043943,Elyria City Schools,Lorain,Region 2,Open,High School,NonDisadvantaged,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,75.0,77.4,NC,63.0,55.6,26.6,27.1,NC,NC,63.5,95.0,89.2,89.9,570,32.5,
010504,Emerson Elementary School,045047,Westerville City,Franklin,Region 11,Open,Elementary School,Disadvantaged,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,>95.0,NC,NC,80,25.2,
010504,Emerson Elementary School,045047,Westerville City,Franklin,Region 11,Open,Elementary School,NonDisadvantaged,93.8,93.8,82.4,87.5,94.1,95.0,94.1,90.0,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,>95.0,NC,NC,238,74.8,
010512,Emerson Elementary School,044784,Sidney City,Shelby,Region 6,Open,Elementary School,Disadvantaged,40.0,68.2,56.4,48.7,79.5,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,94.5,NC,NC,233,63.5,
010512,Emerson Elementary School,044784,Sidney City,Shelby,Region 6,Open,Elementary School,NonDisadvantaged,81.0,90.5,73.7,68.4,86.8,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,>95.0,NC,NC,134,36.5,
010595,Englewood Elementary School,048728,Northmont City,Montgomery,Region 10,Open,Elementary School,Disadvantaged,47.8,56.5,58.3,66.7,91.7,78.9,78.9,78.9,55.6,77.8,55.6,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,>95.0,NC,NC,101,30.3,
010595,Englewood Elementary School,048728,Northmont City,Montgomery,Region 10,Open,Elementary School,NonDisadvantaged,81.3,77.1,90.5,92.5,>95.0,87.5,84.2,87.5,75.4,77.6,75.4,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,>95.0,NC,NC,233,70.0,
010603,Englewood Hills Elementary School,048728,Northmont City,Montgomery,Region 10,Open,Elementary School,Disadvantaged,73.7,78.9,48.0,60.0,76.0,63.0,57.7,92.6,57.9,85.0,78.9,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,>95.0,NC,NC,116,46.6,
010603,Englewood Hills Elementary School,048728,Northmont City,Montgomery,Region 10,Open,Elementary School,NonDisadvantaged,73.9,69.6,63.2,78.9,89.5,81.5,68.0,85.2,78.1,87.1,84.4,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,>95.0,NC,NC,133,53.4,
010611,Indian Valley Intermediate School,046235,Greenon Local,Clark,Region 10,Open,Elementary School,Disadvantaged,54.5,61.4,51.4,45.9,75.7,55.8,53.5,67.4,27.9,44.2,48.8,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,93.2,NC,NC,219,35.0,
010611,Indian Valley Intermediate School,046235,Greenon Local,Clark,Region 10,Open,Elementary School,NonDisadvantaged,72.9,81.4,66.3,78.9,82.1,77.8,74.6,88.9,49.4,74.7,75.9,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,>95.0,NC,NC,407,65.0,
010652,Erieview Elementary School,048124,Avon Lake City,Lorain,Region 2,Open,Elementary School,Disadvantaged,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,94.2,NC,NC,16,5.9,
010652,Erieview Elementary School,048124,Avon Lake City,Lorain,Region 2,Open,Elementary School,NonDisadvantaged,90.0,>95.0,81.0,91.1,93.1,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,>95.0,NC,NC,257,94.1,
010660,North Royalton High School,044545,North Royalton City,Cuyahoga,Region 3,Open,High School,Disadvantaged,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,72.3,71.3,NC,54.2,40.7,52.2,42.9,NC,NC,61.0,93.2,93.9,89.8,195,13.3,
010660,North Royalton High School,044545,North Royalton City,Cuyahoga,Region 3,Open,High School,NonDisadvantaged,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,91.9,86.9,NC,79.5,77.2,61.9,74.2,NC,NC,85.4,>95.0,>95.0,>95.0,1272,86.7,
010686,Ervin Carlisle Elementary School,043877,Delaware City,Delaware,Region 11,Open,Elementary School,Disadvantaged,54.2,62.5,59.3,55.6,77.8,41.2,23.5,47.1,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,>95.0,NC,NC,140,24.3,
010686,Ervin Carlisle Elementary School,043877,Delaware City,Delaware,Region 11,Open,Elementary School,NonDisadvantaged,90.3,83.3,76.4,75.0,88.6,72.5,54.7,83.8,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,>95.0,NC,NC,436,75.7,
010702,Coventry Middle School,049999,Coventry Local,Summit,Region 8,Open,Middle School,Disadvantaged,NC,NC,NC,NC,NC,75.7,66.2,78.4,55.4,78.5,64.6,39.0,44.2,27.4,66.1,60.3,NC,NC,NC,NC,NC,>95.0,NC,NC,NC,NC,93.7,NC,NC,313,45.1,
010702,Coventry Middle School,049999,Coventry Local,Summit,Region 8,Open,Middle School,NonDisadvantaged,NC,NC,NC,NC,NC,78.2,71.3,83.9,70.0,77.8,67.4,64.6,59.0,65.2,75.4,83.5,NC,NC,NC,NC,NC,>95.0,90.0,NC,NC,NC,>95.0,NC,NC,381,54.9,
010751,Eastern Heights Middle School,043943,Elyria City Schools,Lorain,Region 2,Open,Middle School,Disadvantaged,NC,NC,NC,NC,NC,NC,NC,NC,36.3,36.3,41.3,41.1,30.2,27.6,31.0,38.5,NC,NC,NC,NC,NC,66.7,NC,NC,NC,NC,93.0,NC,NC,309,67.6,
010751,Eastern Heights Middle School,043943,Elyria City Schools,Lorain,Region 2,Open,Middle School,NonDisadvantaged,NC,NC,NC,NC,NC,NC,NC,NC,73.5,68.6,66.0,71.4,65.3,63.6,50.0,76.2,NC,NC,NC,NC,NC,91.7,NC,NC,NC,NC,94.0,NC,NC,148,32.4,
010769,Eastern High School,046037,Eastern Local,Brown,Region 14,Open,High School,Disadvantaged,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,66.2,69.7,NC,57.6,48.0,47.5,39.0,NC,NC,59.6,94.1,82.1,91.7,148,41.2,
010769,Eastern High School,046037,Eastern Local,Brown,Region 14,Open,High School,NonDisadvantaged,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,80.8,72.7,NC,77.5,73.6,64.4,70.4,NC,NC,81.6,>95.0,>95.0,93.8,212,59.1,
010777,Etna Elementary School,048041,Southwest Licking Local,Licking,Region 11,Open,Elementary School,Disadvantaged,NC,NC,59.3,70.9,84.9,71.6,71.3,75.0,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,93.7,NC,NC,179,28.3,
010777,Etna Elementary School,048041,Southwest Licking Local,Licking,Region 11,Open,Elementary School,NonDisadvantaged,NC,NC,81.4,86.8,91.3,85.1,81.5,86.0,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,>95.0,NC,NC,454,71.7,
010785,Etna Road Elementary School,045070,Whitehall City,Franklin,Region 11,Open,Elementary School,Disadvantaged,38.2,56.6,44.6,60.8,64.9,66.7,56.9,56.9,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,94.4,NC,NC,352,71.8,
010785,Etna Road Elementary School,045070,Whitehall City,Franklin,Region 11,Open,Elementary School,NonDisadvantaged,46.2,53.8,58.3,75.0,83.3,70.6,29.4,47.1,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,>95.0,NC,NC,138,28.2,
010793,Euclid Central Middle School,043950,Euclid City,Cuyahoga,Region 3,Open,Middle School,Disadvantaged,NC,NC,NC,NC,NC,NC,NC,NC,25.5,22.9,23.8,19.0,15.6,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,91.5,NC,NC,511,67.9,
010793,Euclid Central Middle School,043950,Euclid City,Cuyahoga,Region 3,Open,Middle School,NonDisadvantaged,NC,NC,NC,NC,NC,NC,NC,NC,47.3,41.1,40.0,37.6,27.0,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,92.7,NC,NC,242,32.1,
010801,Euclid Park Elementary School,043786,Cleveland Municipal,Cuyahoga,Region 3,Open,Elementary School,Disadvantaged,28.9,50.0,25.6,48.7,53.8,22.7,36.4,22.7,25.0,25.0,21.4,22.7,18.2,22.7,47.6,47.6,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,91.7,NC,NC,344,>95.0,
010801,Euclid Park Elementary School,043786,Cleveland Municipal,Cuyahoga,Region 3,Open,Elementary School,NonDisadvantaged,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,
010811,Ruskin PreK-6 School,043844,Dayton City,Montgomery,Region 10,Open,Elementary School,Disadvantaged,33.3,49.3,43.3,53.3,60.0,53.8,56.9,69.8,44.4,38.9,40.4,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,94.2,NC,NC,550,>95.0,
010811,Ruskin PreK-6 School,043844,Dayton City,Montgomery,Region 10,Open,Elementary School,NonDisadvantaged,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,
010819,Euclid High School,043950,Euclid City,Cuyahoga,Region 3,Open,High School,Disadvantaged,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,13.2,17.7,22.6,65.5,64.7,14.8,27.8,26.7,22.8,16.7,NC,NC,40.4,87.4,72.1,72.8,1136,59.2,
010819,Euclid High School,043950,Euclid City,Cuyahoga,Region 3,Open,High School,NonDisadvantaged,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,33.3,26.3,44.0,60.6,66.0,16.7,37.9,35.6,29.8,21.9,NC,NC,45.5,88.4,79.9,70.7,782,40.8,
010827,Evamere Elementary School,050021,Hudson City,Summit,Region 8,Open,Elementary School,Disadvantaged,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,92.3,NC,NC,23,4.1,
010827,Evamere Elementary School,050021,Hudson City,Summit,Region 8,Open,Elementary School,NonDisadvantaged,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,>95.0,NC,NC,532,>95.0,
010836,Gallia Academy Middle School,044032,Gallipolis City,Gallia,Region 16,Open,Middle School,Disadvantaged,NC,NC,NC,NC,NC,NC,NC,NC,41.7,32.1,64.3,45.6,32.4,28.6,42.9,60.5,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,92.1,NC,NC,243,52.4,
010836,Gallia Academy Middle School,044032,Gallipolis City,Gallia,Region 16,Open,Middle School,NonDisadvantaged,NC,NC,NC,NC,NC,NC,NC,NC,69.0,60.0,81.7,71.6,61.0,49.3,62.3,75.0,NC,NC,NC,NC,NC,>95.0,NC,NC,NC,NC,94.1,NC,NC,221,47.6,
010843,Evendale Elementary School,044677,Princeton City,Hamilton,Region 13,Open,Elementary School,Disadvantaged,66.7,66.7,66.7,66.7,75.0,38.9,61.1,61.1,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,94.7,NC,NC,95,39.4,
010843,Evendale Elementary School,044677,Princeton City,Hamilton,Region 13,Open,Elementary School,NonDisadvantaged,83.3,77.8,76.0,92.0,88.0,91.3,87.0,87.0,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,>95.0,NC,NC,146,60.6,
010868,Evening Street Elementary School,045138,Worthington City,Franklin,Region 11,Open,Elementary School,Disadvantaged,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,94.3,NC,NC,16,3.3,
010868,Evening Street Elementary School,045138,Worthington City,Franklin,Region 11,Open,Elementary School,NonDisadvantaged,92.1,>95.0,91.0,>95.0,>95.0,92.9,90.2,88.4,NC,>95.0,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,>95.0,NC,NC,468,>95.0,
010876,Arts Impact Middle School (Aims),043802,Columbus City,Franklin,Region 11,Open,Middle School,Disadvantaged,NC,NC,NC,NC,NC,NC,NC,NC,30.9,35.2,32.1,39.2,36.9,32.5,44.6,37.7,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,93.1,NC,NC,522,>95.0,
010876,Arts Impact Middle School (Aims),043802,Columbus City,Franklin,Region 11,Open,Middle School,NonDisadvantaged,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,
010884,Evergreen High School,047050,Evergreen Local,Fulton,Region 1,Open,High School,Disadvantaged,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,>95.0,>95.0,NC,79.2,82.1,60.0,57.1,NC,NC,74.1,93.3,89.3,>95.0,76,21.3,
010884,Evergreen High School,047050,Evergreen Local,Fulton,Region 1,Open,High School,NonDisadvantaged,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,93.6,93.7,NC,90.9,78.2,73.3,65.9,NC,NC,81.8,>95.0,>95.0,>95.0,280,78.7,
010926,Fairbanks High School,050328,Fairbanks Local,Union,Region 11,Open,High School,Disadvantaged,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,54.5,81.3,NC,47.4,70.0,33.3,33.3,NC,NC,54.5,94.2,NC,NC,53,14.7,
